76;alegreters;ALEGRETE - RS;Rio Grande do Sul;Alegrete;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
76;alegreters;ALEGRETE - RS;Rio Grande do Sul;Alegria;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
76;alegreters;ALEGRETE - RS;Rio Grande do Sul;Alpestre;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
76;alegreters;ALEGRETE - RS;Rio Grande do Sul;Alto Alegre;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
77;alegretedopiaui;ALEGRETE DO PIAUI;Piauí;Alagoinha do Piauí;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
77;alegretedopiaui;ALEGRETE DO PIAUI;Piauí;Alegrete do Piauí;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
79;alegreters;ALEGRETE/RS;Rio Grande do Sul;Alegrete;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
79;alegreters;ALEGRETE/RS;Rio Grande do Sul;Alegria;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
79;alegreters;ALEGRETE/RS;Rio Grande do Sul;Alpestre;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
76;alegreters;ALEGRETE - RS;Rio Grande do Sul;Alto Alegre;%Similaridade0.5
79;alegreters;ALEGRETE/RS;Rio Grande do Sul;Alto Alegre;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
80;alenquer;Alenquer;Pará;Alenquer;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
80;alenquer;Alenquer;Pará;Almeirim;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
81;alenquerpa;ALENQUER/PA;Pará;Alenquer;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
82;alexnia;Alexânia;Goiás;Abadiânia;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
82;alexnia;Alexânia;Goiás;Acreúna;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
82;alexnia;Alexânia;Goiás;Adelândia;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
82;alexnia;Alexânia;Goiás;Água Limpa;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
29;acreunago;ACREUNA - GO;Goiás;Alexânia;%Similaridade0.5
82;alexnia;Alexânia;Goiás;Alexânia;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
82;alexnia;Alexânia;Goiás;Aloândia;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
54;agualimpago;AGUA LIMPA - GO;Goiás;Amaralina;%Similaridade0.5
82;alexnia;Alexânia;Goiás;Amaralina;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
83;alexniago;ALEXÂNIA/GO;Goiás;Acreúna;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
83;alexniago;ALEXÂNIA/GO;Goiás;Adelândia;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
29;acreunago;ACREUNA - GO;Goiás;Alexânia;%Similaridade0.5
83;alexniago;ALEXÂNIA/GO;Goiás;Alexânia;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
83;alexniago;ALEXÂNIA/GO;Goiás;Aloândia;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
